,date,state,city,place_type,confirmed,deaths,order_for_place,is_last,estimated_population_2019,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
1072832,2021-04-27,PI,Santo Antônio de Lisboa,city,34,4,343,True,6415.0,6441.0,2209401.0,527.86834,0.1176
1073175,2021-04-27,PI,Santo Antônio dos Milagres,city,147,2,323,True,2161.0,2166.0,2209450.0,6786.7036,0.0136
1073498,2021-04-27,PI,Santo Inácio do Piauí,city,221,5,318,True,3798.0,3803.0,2209500.0,5811.20168,0.0226
1073816,2021-04-27,PI,Sebastião Barros,city,22,3,309,True,3469.0,3451.0,2210623.0,637.4963799999999,0.1364
1074125,2021-04-27,PI,Sebastião Leal,city,333,4,299,True,4294.0,4303.0,2210631.0,7738.78689,0.012
1074424,2021-04-27,PI,Sigefredo Pacheco,city,373,10,349,True,10041.0,10058.0,2210656.0,3708.49075,0.0268
1074773,2021-04-27,PI,Simplício Mendes,city,969,26,354,True,12711.0,12746.0,2210805.0,7602.38506,0.0268
1075127,2021-04-27,PI,Simões,city,659,6,335,True,14633.0,14649.0,2210706.0,4498.60059,0.0091
1075462,2021-04-27,PI,Socorro do Piauí,city,108,6,350,True,4569.0,4563.0,2210904.0,2366.86391,0.0556
1075812,2021-04-27,PI,Sussuapara,city,329,3,329,True,6730.0,6767.0,2210938.0,4861.829470000001,0.0091
1076141,2021-04-27,PI,São Braz do Piauí,city,56,8,296,True,4448.0,4451.0,2209559.0,1258.14424,0.1429
1076437,2021-04-27,PI,São Francisco de Assis do Piauí,city,50,2,339,True,5755.0,5779.0,2209658.0,865.20159,0.04
1076776,2021-04-27,PI,São Francisco do Piauí,city,115,5,367,True,6423.0,6420.0,2209708.0,1791.27726,0.0435
1077143,2021-04-27,PI,São Félix do Piauí,city,145,2,303,True,2942.0,2932.0,2209609.0,4945.42974,0.0138
1077446,2021-04-27,PI,São Gonçalo do Gurguéia,city,123,3,313,True,3041.0,3057.0,2209757.0,4023.5525,0.0244
1077759,2021-04-27,PI,São Gonçalo do Piauí,city,332,4,361,True,5015.0,5030.0,2209807.0,6600.39761,0.012
1078120,2021-04-27,PI,São José do Divino,city,129,7,397,True,5346.0,5354.0,2210052.0,2409.41352,0.0543
1078517,2021-04-27,PI,São José do Peixe,city,63,1,356,True,3745.0,3741.0,2210102.0,1684.0417,0.0159
1078873,2021-04-27,PI,São José do Piauí,city,141,8,376,True,6705.0,6700.0,2210201.0,2104.4776100000004,0.0567
